"쉼터명",법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"서1동 주민센터",서동,주민센터,2019-01-01,2019-12-31,150,30,10,3,N,N,N,,부산광역시 금정구 서부로69번길 17 (서동),,서1동,051-519-5101,,,2019-03-19
"동진경로당",서동,노인시설,2019-01-01,2019-12-31,131,50,2,1,Y,Y,N,,부산광역시 금정구 명서로45번길 11 (서동),,서1동,051-519-5101,,,2019-03-19
"새마을경로당",서동,노인시설,2019-01-01,2019-12-31,43,10,1,1,N,Y,N,,부산광역시 금정구 서부로69번길 35 (서동),,서1동,051-519-5101,,,2019-03-19
"서2동 주민센터",서동,주민센터,2019-01-01,2019-12-31,150,150,10,3,N,N,N,,"부산광역시 금정구 서동중심로 33, 서2동주민센터 (서동)",,서2동,051-519-5122,,,2019-03-19
"서2동할머니경로당",서동,노인시설,2019-01-01,2019-12-31,30,30,4,2,N,Y,N,,부산광역시 금정구 명서로45번길 99 (서동),,서2동,051-519-5122,,,2019-03-19
"서3동 주민센터",서동,주민센터,2019-01-01,2019-12-31,357,89,13,1,N,N,N,,부산광역시 금정구 서곡로33번길 9 (서동),,서3동,051-519-5142,,,2019-03-19
"서3동 화목경로당",서동,노인시설,2019-01-01,2019-12-31,57.05,14,1,2,N,Y,N,,부산광역시 금정구 서곡로 8번길 21-1,,서3동,051-519-5142,,,2019-03-19
"서3동 경로당",서동,노인시설,2019-01-01,2019-12-31,54.49,13,1,2,N,Y,N,,부산광역시 금정구 서곡로 8번길 21-1,,서3동,051-519-5142,,,2019-03-19
"금사동주민센터",금사동,주민센터,2019-01-01,2019-12-31,292,73,8,4,N,N,N,,부산광역시 금정구 금사로85번길 12 (금사동),,금사동,051-519-5182,,,2019-03-19
"금정구종합사회복지관",금사동,복지회관,2019-01-01,2019-12-31,590,147,18,22,N,N,N,,"부산광역시 금정구 반송로490번길 47, 금정구종합사회복지관 (금사동)",,금사동,051-519-5182,,,2019-03-19
"금사동새마을금고 회동지점",금사동,금융기관,2019-01-01,2019-12-31,127.8,24,0,3,N,N,N,,부산광역시 금정구 회천로 1 (회동동),,금사동,051-519-5182,,,2019-03-19
"금사동새마을금고 본접",금사동,금융기관,2019-01-01,2019-12-31,276.75,55,0,2,N,N,N,,부산광역시 금정구 금사로85번길 21-1 (금사동),,금사동,051-519-5182,,,2019-03-19
"부곡1동 주민센터",부곡동,주민센터,2019-01-01,2019-12-31,190,40,6,1,N,N,N,,"부산광역시 금정구 동부곡로6번길 29,(부곡동)",,부곡1동,051-519-5213,,,2019-03-19
"늘푸른A.할아버지경로당",부곡동,노인시설,2019-01-01,2019-12-31,159,30,5,2,N,Y,N,,부산광역시 금정구 동현로 67 (부곡동),,부곡1동,051-519-5213,,,2019-03-19
"부곡2동주민센터",부곡동,주민센터,2019-01-01,2019-12-31,120,30,2,1,N,N,N,,부산광역시 금정구 부곡로156번길 7 (부곡동),,부곡2동,051-519-5222,,,2019-03-19
"부곡대우A.할아버지경로당",부곡동,노인시설,2019-01-01,2019-12-31,320,80,3,1,N,Y,N,,"부산광역시 금정구 부산대학로 10 (부곡동, 부곡대우아파트)",,부곡2동,051-519-5222,,,2019-03-19
"부곡3동주민센터",부곡동,주민센터,2019-01-01,2019-12-31,237,20,10,1,N,N,N,,"부산광역시 금정구 기찰로 107, 부곡3동주민센터 (부곡동)",,부곡3동,051-519-5257,,,2019-03-19
"경남한신A.할머니경로당",부곡동,노인시설,2019-01-01,2019-12-31,70,50,7,2,N,Y,N,,"부산광역시 금정구 중앙대로1685번길 24 (부곡동, 경남한신아파트)",,부곡3동,051-519-5257,,,2019-03-19
"부곡4동주민센터",부곡동,주민센터,2019-01-01,2019-12-31,80,20,7,2,Y,N,N,,"부산광역시 금정구 부곡로18번안길 37, 부곡4동주민센터 (부곡동)",,부곡4동,051-519-5262,,,2019-03-19
"뉴그린A.할머니경로당",부곡동,노인시설,2019-01-01,2019-12-31,88,22,4,1,N,Y,N,,"부산광역시 금정구 동현로 90 (부곡동, 부곡뉴그린아파트)",,부곡4동,051-519-5262,,,2019-03-19
"장전1동주민센터",장전동,주민센터,2019-01-01,2019-12-31,164.8,70,8,2,N,N,N,,"부산광역시 금정구 금강로335번길 27, 장전1동주민센터 (장전동)",,장전1동,051-519-5296,,,2019-03-19
"백조경로당",장전동,노인시설,2019-01-01,2019-12-31,82.6,30,2,2,N,Y,N,,부산광역시 금정구 부산대학로50번길 51 (장전동),,장전1동,051-519-5296,,,2019-03-19
"장명경로당",장전동,노인시설,2019-01-01,2019-12-31,55.54,13,5,2,N,N,N,,부산광역시 금정구 장전온천천로113번길 12(장전동),,장전1동,051-519-5296,,,2019-03-19
"장전2동주민센터",장전동,주민센터,2019-01-01,2019-12-31,150,30,2,4,N,N,N,,"부산광역시 금정구 소정로 19, 장전2동주민센터 (장전동)",,장전2동,051-519-5312,,,2019-03-19
"금정만세한신A.경로당",장전동,노인시설,2019-01-01,2019-12-31,60,15,2,1,N,Y,N,,"부산광역시 금정구 소정로 39 (장전동, 금정산한신아파트)",,장전2동,051-519-5312,,,2019-03-19
"장전3동주민센터",장전동,주민센터,2019-01-01,2019-12-31,271.88,30,10,1,N,N,N,,부산광역시 금정구 금정로 29-6 (장전동),,장전3동,051-519-5322,,,2019-03-19
"선두구동주민센터",두구동,주민센터,2019-01-01,2019-12-31,345,70,6,1,N,N,N,,부산광역시 금정구 두구죽전1길 13 (두구동),,선두구동,051-519-5341,,,2019-03-19
"신천경로당",선동,노인시설,2019-01-01,2019-12-31,99,30,3,1,N,Y,N,,부산광역시 금정구 신천로35번길 2 (선동),,선두구동,051-519-5341,,,2019-03-19
"청룡노포동주민센터",청룡동,주민센터,2019-01-01,2019-12-31,198.8,20,6,1,N,N,N,,"부산광역시 금정구 청룡로 25, 청룡노포동주민센터 (청룡동)",,청룡노포동,051-519-5364,,,2019-03-19
"청룡(남)경로당",청룡동,노인시설,2019-01-01,2019-12-31,131.9,30,3,2,N,Y,N,,부산광역시 금정구 청룡예전로8-12 (청룡동),,청룡노포동,051-519-5364,,,2019-03-19
"금정노인복지관",청룡동,복지회관,2019-01-01,2019-12-31,259,100,6,5,N,N,N,,부산광역시 금정구 청룡예전로 110 (청룡동),,청룡노포동,051-519-5364,,,2019-03-19
"남산동주민센터",남산동,주민센터,2019-01-01,2019-12-31,649.56,163,13,1,N,N,N,,"부산광역시 금정구 중앙대로2097번길 4, 남산동동사무소 (남산동)",,남산동,051-519-5382,,,2019-03-19
"머드레경로당",남산동,노인시설,2019-01-01,2019-12-31,371.14,92,8,1,N,Y,N,,"부산광역시 금정구 범어천로52번길 25-3, 남산동회관 (남산동)",,남산동,051-519-5382,,,2019-03-19
"장전3동경로당",장전동,노인시설,2019-01-01,2019-12-31,66.12,20,2,2,N,Y,N,,부산광역시 금정구 식물원로40번길 27 (장전동),,장전3동,051-519-5322,,,2019-03-19
"머드레작은도서관",남산동,기타,2019-01-01,2019-12-31,33.75,10,0,1,N,Y,N,,부산광역시 금정구 범어천로52번길 25-3 (남산동),,남산동,051-519-5382,,,2019-03-19
"금샘마을도서관",남산동,기타,2019-01-01,2019-12-31,49.5,10,0,1,N,Y,N,,부산광역시 금정구 금강로 673 (남산동),,남산동,051-519-5382,,,2019-03-19
"이땅바다작은도서관",구서동,기타,2019-01-01,2019-12-31,40,10,0,1,N,Y,N,,부산광역시 금정구 금강로565번길 47,,구서2동,051-519-5424,,,2019-03-19
"금정도서관 내부 카페",청룡동,기타,2019-01-01,2019-12-31,20,20,1,1,N,Y,N,,부산광역시 금정구 금정도서관로 33,,청룡노포동,051-519-5604,,,2019-03-19
